ingredient,bridging_score
sapodilla_fruit,0.02558582005880854
apple,0.021406953863711026
white_wine,0.01844850150679751
eucalyptus_globulus,0.016897197574434825
orange,0.016799511997337025
hyacinth,0.014975587048393328
vanilla,0.014727415787047253
apple_juice,0.01458906067988185
nutmeg,0.013943746014155439
matsutake,0.013892838140074614
beer,0.013755706517816938
green_tea,0.013552000034219806
artichoke,0.01146946820317404
tomato,0.01145635831746187
peppermint_oil,0.011360497269850198
camphor,0.011348697446908952
parmesan_cheese,0.011266360681254787
roasted_chicken,0.010815060055792334
malay_apple,0.010228918552144762
hog_plum,0.01017305714352298
roasted_cocoa,0.009990654854885529
sandalwood,0.009872784051647612
clove,0.009857026294296583
cabernet_sauvignon_wine,0.009811639976097365
rooibus_tea,0.009666721792373989
angelica_root,0.009538363891210742
feijoa,0.009526334304575775
pouching_tea,0.009470622580887428
tangerine_juice,0.009192917106967645
cocoa,0.009188654400831244
bell_pepper,0.008902026933295608
cassia,0.008826663826172726
bourbon_whiskey,0.008749986835660402
geranium,0.008590311519912191
cranberry,0.00858973418819335
coriander,0.008342108844418824
peppermint,0.008240476971368272
french_peppermint,0.007944196537291994
cuttlefish,0.007918942781515408
apricot,0.007771771354438103
bilberry,0.0075068421394967584
safflower_seed,0.007425641333770957
squid,0.007414680001668531
champagne_wine,0.007349033465854816
cured_pork,0.007338211412512153
roasted_filbert,0.007287806110815166
plumcot,0.0072210208565771546
sparkling_wine,0.007200917625115466
shallot,0.007189027126519712
malt_whiskey,0.007146255643239351
roasted_barley,0.007139331090525895
ylangylang,0.007127736746090085
asparagus,0.006973910937901161
rose_wine,0.006844096109409059
russian_cheese,0.006833393255390921
barley,0.0067530546185455495
cypress,0.006741601840918964
lemon,0.006682942950953688
rhubarb,0.006537863773391705
cruciferae_seed,0.006494674893221908
carrot,0.00645163896471359
prune,0.006370782350896255
pepino_melon,0.006348091816783568
buchu_oil,0.006325335890132271
peanut,0.006205768538113019
cardamom,0.006193611073473078
parsnip_root,0.006129729552808164
cream_cheese,0.006125151295818251
dill,0.006112989429806186
sour_cherry,0.006093801354602853
prickly_pear,0.006073432288099927
saffron,0.006072999785746788
cider,0.006060300341067574
southern_pea,0.005860301135180803
chicken,0.0057914139377324685
crab,0.005756352363594668
neroli_oil,0.005694800636468191
star_anise,0.005606345677808209
wheat_bread,0.005590826280759495
marjoram,0.005552502266026757
tobacco,0.005474558826540782
french_fried_potato,0.00534169143247952
cupressaceae,0.005326067908865795
buckwheat,0.0052832827586749755
raw_potato,0.005230022305996166
mandarin_peel,0.0051561799317715925
chicory_root,0.00508904123318576
pawpaw,0.004977502489646161
romano_cheese,0.004922092949028417
chinese_cabbage,0.004866348536637201
parsnip_fruit,0.0047629944412243275
peach,0.0047350791532219366
roasted_coconut,0.004732347112541676
wood,0.004730991063860182
tangerine,0.004712713928536074
tuberose,0.0047082771895108465
soy_sauce,0.004634006731246676
feta_cheese,0.004542837900865517
onion,0.0045389006016107
rose_apple,0.004519833822619285
caviar,0.004463918708675488
citrus_juice,0.004442846255208662
wheaten_bread,0.004350768251086824
cabbage,0.004275703316651436
boiled_mutton,0.00427565362581689
popcorn,0.004229376548580737
pork_liver,0.004202673119039824
mastic_gum,0.004176810025571085
sturgeon_caviar,0.0041428398389211606
mozzarella_cheese,0.0041372913583068195
grilled_pork,0.0041125157493440085
raw_soybean_oil,0.004086368017249866
cashew,0.003966896282900121
camphor_oil,0.00390140762357433
lamb,0.0038800736947114138
munster_cheese,0.0038739683807564635
emmental_cheese,0.0038739683807564635
mate,0.0038486440142240313
lime_peel_oil,0.0038328508180875327
roman_chamomile_oil,0.0038208449244609252
banana_passion_fruit,0.003802666885000526
green_bell_pepper,0.003780335375108265
lovage,0.003758361709970409
guinea_pepper,0.003748582885454839
pepper,0.003748582885454839
elderberry_fruit,0.003733049419415736
raw_cabbage,0.00360791176067277
peated_malt,0.0035124161952650554
citrus,0.003509056314303588
roasted_pecan,0.0034837581626227495
satsuma,0.003422171097746711
japanese_plum,0.003393130827203754
pork_sausage,0.003389600491314371
fruit_brandy,0.0032885447119717992
mussel,0.0032130230405336743
